Lin Shaye	Small Town Saturday Night
John Leguizamo	The Groomsmen
Tom Arnold	The Kid &amp; I
Arielle Kebbel	The Kid &amp; I
Robert Patrick	The Marine
Jeff Chase	The Marine
Kristen Stewart	The Messengers
John Savage	Anytown
Tim Blake Nelson	My Suicidal Sweetheart
Joseph Gordon-Levitt	Elektra Luxx
Malin ?kerman	Elektra Luxx
Carla Gugino	Elektra Luxx
Lucy Punch	Elektra Luxx
Julianne Moore	Elektra Luxx
Carla Gugino	Elektra Luxx
Brett Rice	Aquaman
Ving Rhames	Aquaman
James Franco	Child of God
Tim Blake Nelson	Child of God
Noel Gugliemi	Party Animalz
Rhoda Griffis	Mean Girls 2
Morgan Freeman	Unleashed
Dee Wallace	Bedrooms
Robin Williams	House of D
Carmen Electra	Full of It
John Carroll Lynch	Full of It
Bill Moseley	Repo! The Genetic Opera
Lacey Chabert	What If God Were the Sun?
Ray Wise	Atlas Shrugged: Part II
Noel Gugliemi	Red Sands
J.K. Simmons	Red Sands
Christa Campbell	Showdown at Area 51
Michael Madsen	Green Lantern: First Flight
Ben Stiller	Night at the Museum
Robin Williams	Night at the Museum
Carla Gugino	Night at the Museum
Owen Wilson	Night at the Museum
Steve Coogan	Night at the Museum
Paul Rudd	Night at the Museum
Mike Epps	Resident Evil: Apocalypse
Mike Epps	Resident Evil: Extinction
50 Cent	Twelve
Tim Blake Nelson	American Violet
Anthony Mackie	American Violet
C. Thomas Howell	The Da Vinci Treasure
Lance Henriksen	The Da Vinci Treasure
Chlo? Moretz	Room 6
Michael Clarke Duncan	Racing Stripes
Dustin Hoffman	Racing Stripes
Snoop Dogg	Racing Stripes
Jeff Bridges	Stick It
Kellan Lutz	Stick It
Will Ferrell	Stranger than Fiction
Emma Thompson	Stranger than Fiction
Dustin Hoffman	Stranger than Fiction
Queen Latifah	Stranger than Fiction
Tony Hale	Stranger than Fiction
Jeremy Sisto	A Lot like Love
Kathryn Hahn	A Lot like Love
Jennifer Aniston	Friends with Money
Richard Riehle	Hindsight
Malin ?kerman	Bye Bye Sally
Missi Pyle	The Big D
Chris Mulkey	Breathe
Will Ferrell	Casa de Mi Padre
Matthew McConaughey	Bernie
Christian Slater	Bullet to the Head
Christian Slater	Playback
Tom Arnold	Fred 3: Camp Fred
C. Thomas Howell	The Poseidon Adventure
Rob Schneider	You May Not Kiss the Bride
