Elegy	War, Inc.
Elmo's Christmas Countdown	Night at the Museum: Battle of the Smithsonian
Borderland	Click
Brothers in Arms	Let God Be the Judge
Fire with Fire	The Midnight Meat Train
Human Factor	Lost Treasure of the Maya
Small Fry	Wreck-It Ralph
Kung Fu Panda	Superbad
The Lookout	The Mighty Macs
Take Me Home Tonight	Zero Dark Thirty
Jungle Juice	Man of the Year
Super Capers	Whisper
Atonement	Small Apartments
Confessions of a Teenage Drama Queen	Just My Luck
Blood Done Sign My Name	The Odd Life of Timothy Green
Taco Shop	Wubbzy's Big Movie
The Devil's Carnival	The Gunman
Fracture	The City of Your Final Destination
Lymelife	Rise of the Guardians
Slaughter Party	The Black Belle
A Beginner's Guide to Endings	Postal
Ace Ventura, Jr.: Pet Detective	The Marine
El Muerto	Gone
The Best and the Brightest	The Brooklyn Brothers Beat the Best
10 Items or Less	A Raisin in the Sun
Jesse Stone: Sea Change	The Deaths of Chet Baker
Brother Bear 2	Talladega Nights: The Ballad of Ricky Bobby
Fireflies in the Garden	X-Men Origins: Wolverine
In the Land of Women	What Just Happened
Gravity	The Men Who Stare at Goats
ATL	Dirty
Comeback Season	Street Kings: Motor City
Crash	Reign Over Me
A Christmas Too Many	Holyman Undercover
Crazy Heart	Mystery Woman: Mystery Weekend
Blackstone	Jobs
Cat Run	X-Men: First Class
An Invisible Sign	Machete
La Linea	Living the Dream
Holy Rollers	Rio
Bernard and Doris	Hemlock Drive
Adventureland	Cutlass
Gordon Glass	Trapped in 5150
Hallelujah	No Heroics
Inside Llewyn Davis	The Final Inquiry
Nanking	The Walker
Dirty	The Last Fall
Spider-Man 3	Up in the Air
All About Steve	Extract
Juno	The Astronaut Farmer
Extract	Horrible Bosses
Hit and Run	The Rocker
Necessary Evil	Texas Chainsaw 3D
Marie Antoinette	Robin Hood
+1	Mean Girls 2
Adventureland	The Twilight Saga: Breaking Dawn - Part 2
Falling Away	IMurders
Charlie St. Cloud	La Linea
127 Hours	The Great Raid
Alvin and the Chipmunks	Love is Love
Loosies	The Kid: Chamaco
Timberwolf	Yellow Rock
Admissions	Here Comes Peter Cottontail: The Movie
Coffee Date	Spork
Little Fockers	Terrorists
Archie's Final Project	David Carradine's AM &amp; PM Tai Chi Workout for Beginners
Home of the Brave	Lives of the Saints
The Courier	Welcome to the Rileys
Jungle Juice	The Maiden Heist
Mr. &amp; Mrs. Smith	The Fifth Commandment
Milk	The Broken Tower
Eyes Front	Kill Bill Volume 2
Crimson Force	The Keeper: The Legend of Omar Khayyam
Elvis Has Left the Building	Extremely Loud and Incredibly Close
Adventureland	The Croods
Jesse Stone: Innocents Lost	Premium
Smokin' Aces	The Invention of Lying
The Frozen Ground	The Paperboy
Attack of the Twonkies	The Land Before Time XII: The Great Day of the Flyers
Freezing People Is Easy	Seven Psychopaths
Tarantula	Tennis Anyone?
Looper	Planet Terror
Doing Hard Time	Pit Fighter
Hellboy	Pacific Rim
Old School New School	Zodiac
Mystery Team	The Hangover
Odd Thomas	The Aviator
127 Hours	Finishing the Game
Flicka 2	The President Hasn't Seen Rocky
The Sexy Dark Ages	The Texas Chainsaw Massacre: The Beginning
Grindhouse	Women in Trouble
Afghan Knights	Machine
Children of Men	Marie Antoinette
Speak	The Twilight Saga: Breaking Dawn - Part 2
A Prairie Home Companion	Seven Psychopaths
Five	Win Win
As You Like It	Courtroom K
The Haunted World of El Superbeasto	Tom and Jerry Meet Sherlock Holmes
Carjacked	The Jane Austen Book Club
Miracle at St. Anna	The Guardian
The Ballad of G.I. Joe	The Kids Are All Right
The Chronicles of Riddick	Transporter 2
2001 Maniacs: Beverly Hellbillys	A Dead Calling
The Mist	Unspoken
Seraphim Falls	Wrath of the Titans
A Raisin in the Sun	Invictus
Forgetting Sarah Marshall	Our Idiot Brother
Crimes of the Past	First Dog
Invincible	People Like Us
Double Duty	The Last Lullaby
American Cowslip	Happy Tears
Howl	Kisses Over Babylon
Monsters vs. Aliens	Reno 911!: Miami
Five Dollars a Day	Subject: I Love You
2-Headed Shark Attack	Hot Tamale
Juno	The Other Side
Tell-Tale	The Campaign
Hoodwinked!	Jolene
The Big Year	The Incredible Hulk
Happy Birthday Oscar Wilde	Margaret
El Superstar: The Unlikely Rise of Juan Frances	Furnace
Game 6	The Incredible Hulk
Dead Lenny	Pauly Shore's Natural Born Komics Sketch Comedy Movie: Miami
Jam	Texas Killing Fields
Van Helsing: The London Assignment	X-Men: The Last Stand
Everybody's Fine	Over the Wall
Between the Sand and the Sky	Boo!
Freelancers	The Good Shepherd
Alvin and the Chipmunks	Man Maid
Confessions of a Shopaholic	Girls Gone Gangsta
Les Mis?rables	The End of Love
Easy A	Five
Greenberg	Vicky Cristina Barcelona
Big Miracle	Scooby-Doo 2: Monsters Unleashed
Inventing L.A.: The Chandlers and Their Times	Salt
Brooklyn to Manhattan	The Grudge 2
Love Happens	The Village
Butter	Pain &amp; Gain
Camp Lazlo: Where's Lazlo?	Mucha Lucha: The Return of El Malefico
Extraordinary Measures	Walk a Mile in My Pradas
